2026-09-24 16:07:21.714 INFO  [] [] com.qjj.user.service.UserApplication - Starting UserApplication using Java 21.0.7 with PID 1032 (D:\myProject\project_ai\backend\user\user-service\target\classes started by SYSTEM in D:\myProject\project_ai\backend\user\user-service)
2026-09-24 16:07:21.715 INFO  [] [] com.qjj.user.service.UserApplication - The following 1 profile is active: "local"
2026-09-24 16:07:22.650 INFO  [] [] o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2026-09-24 16:07:22.652 INFO  [] [] o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2026-09-24 16:07:22.676 INFO  [] [] o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 12 ms. Found 0 Redis repository interfaces.
2026-09-24 16:07:22.839 INFO  [] [] o.s.cloud.context.scope.GenericScope - BeanFactory id=3c0c1d3d-75e2-3fdf-b504-8198e8f57445
2026-09-24 16:07:23.350 INFO  [] [] o.s.b.w.embedded.tomcat.TomcatWebServer - Tomcat initialized with port 18175 (http)
2026-09-24 16:07:23.366 INFO  [] [] o.apache.catalina.core.StandardService - Starting service [Tomcat]
2026-09-24 16:07:23.366 INFO  [] [] org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.55]
2026-09-24 16:07:23.424 INFO  [] [] o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2026-09-24 16:07:23.424 INFO  [] [] o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1670 ms
2026-09-24 16:07:24.056 INFO  [] [] org.redisson.Version - Redisson 3.52.0
2026-09-24 16:07:24.331 INFO  [] [] o.redisson.connection.ConnectionsHolder - 1 connections initialized for 192.168.99.100/192.168.99.100:6379
2026-09-24 16:07:24.448 INFO  [] [] o.redisson.connection.ConnectionsHolder - 24 connections initialized for 192.168.99.100/192.168.99.100:6379
2026-09-24 16:07:24.876 INFO  [] [] c.b.m.s.MybatisPlusApplicationContextAware - Register ApplicationContext instances org.springframework.boot.web.servlet.context.AnnotationConfigServletWebServerApplicationContext@780ec4a5
2026-09-24 16:07:25.183 INFO  [] [] o.s.b.a.e.web.EndpointLinksResolver - Exposing 3 endpoints beneath base path '/actuator'
2026-09-24 16:07:25.236 INFO  [] [] o.s.b.w.embedded.tomcat.TomcatWebServer - Tomcat started on port 18175 (http) with context path '/'
2026-09-24 16:07:25.245 INFO  [] [] c.a.n.c.a.ram.identify.CredentialWatcher - null No credential found
2026-09-24 16:07:25.246 INFO  [] [] c.a.nacos.client.logging.NacosLogging - Nacos Logging Adapter Builder: com.alibaba.nacos.logger.adapter.logback14.LogbackNacosLoggingAdapterBuilder
2026-09-24 16:07:25.246 INFO  [] [] c.a.nacos.client.logging.NacosLogging - Nacos Logging Adapter: com.alibaba.nacos.logger.adapter.logback14.LogbackNacosLoggingAdapter match ch.qos.logback.classic.Logger success.
2026-09-24 16:07:25.248 INFO  [] [] c.a.nacos.client.logging.NacosLogging - Nacos Logging Adapter Builder: com.alibaba.nacos.logger.adapter.log4j2.Log4j2NacosLoggingAdapterBuilder
2026-09-24 16:07:25.285 INFO  [] [] c.a.n.p.a.s.c.ClientAuthPluginManager - [ClientAuthPluginManager] Load ClientAuthService com.alibaba.nacos.client.auth.impl.NacosClientAuthServiceImpl success.
2026-09-24 16:07:25.285 INFO  [] [] c.a.n.p.a.s.c.ClientAuthPluginManager - [ClientAuthPluginManager] Load ClientAuthService com.alibaba.nacos.client.auth.ram.RamClientAuthServiceImpl success.
2026-09-24 16:07:25.922 INFO  [] [] c.a.n.c.a.AbstractAbilityControlManager - Ready to get current node abilities...
2026-09-24 16:07:25.923 INFO  [] [] c.a.n.c.a.AbstractAbilityControlManager - Ready to initialize current node abilities, support modes: [SDK_CLIENT]
2026-09-24 16:07:25.923 INFO  [] [] c.a.n.c.a.AbstractAbilityControlManager - Initialize current abilities finish...
2026-09-24 16:07:25.923 INFO  [] [] c.a.n.c.a.d.NacosAbilityManagerHolder - [AbilityControlManager] Successfully initialize AbilityControlManager
2026-09-24 16:07:25.958 INFO  [] [] c.a.c.n.registry.NacosServiceRegistry - nacos registry, DEFAULT_GROUP user-service 192.168.99.1:18175 register finished
2026-09-24 16:07:25.972 INFO  [] [] com.qjj.user.service.UserApplication - Started UserApplication in 4.771 seconds (process running for 5.245)
2026-09-24 16:07:26.013 WARN  [] [] o.s.core.events.SpringDocAppInitializer - SpringDoc /v3/api-docs endpoint is enabled by default. To disable it in production, set the property 'springdoc.api-docs.enabled=false'
2026-09-24 16:07:26.013 WARN  [] [] o.s.core.events.SpringDocAppInitializer - SpringDoc /swagger-ui.html endpoint is enabled by default. To disable it in production, set the property 'springdoc.swagger-ui.enabled=false'
